catalog,detaillink,location,name,number,time
技术类,position_detail.php?id=30871&keywords=&tid=0&lid=0,深圳,SNG11-腾讯云安全后台开发工程师（深圳）,2,2017-06-15
技术类,position_detail.php?id=29306&keywords=&tid=0&lid=0,深圳,MIG12-数据平台架构师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30858&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》社区运营（成都）,1,2017-06-15
职能类,position_detail.php?id=30917&keywords=&tid=0&lid=0,深圳,SNG17-QQ支付资源合作产品经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=30861&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》世界观策划（成都）,1,2017-06-15
技术类,position_detail.php?id=30902&keywords=&tid=0&lid=0,美国,15575-《王者荣耀》文学编剧（成都）,1,2017-06-16
设计类,position_detail.php?id=29331&keywords=&tid=0&lid=0,深圳,21557-音视频高级应用研发工程师（深圳）,1,2017-06-16
技术类,position_detail.php?id=30905&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》IP生态拓展运营（成都）,1,2017-06-16
产品/项目类,position_detail.php?id=27219&keywords=&tid=0&lid=0,深圳,18428-金融应用高级运维工程师（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=28117&keywords=&tid=0&lid=0,深圳,SHL-秘书（深圳）,1,2017-06-17
技术类,position_detail.php?id=30674&keywords=&tid=0&lid=0,北京,15569-QQ飞车手游客户端开发（深圳）,1,2017-06-16
设计类,position_detail.php?id=28895&keywords=&tid=0&lid=0,上海,18402-移动游戏渠道运营经理（二级渠道）,2,2017-06-17
技术类,position_detail.php?id=29997&keywords=&tid=0&lid=0,深圳,22990-行业大客户销售经理（上海）,1,2017-06-15
职能类,position_detail.php?id=28542&keywords=&tid=0&lid=0,北京,OMG231-新闻视频运营（北京）,1,2017-06-16
产品/项目类,position_detail.php?id=25774&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区内容运营经理,2,2017-06-15
职能类,position_detail.php?id=30842&keywords=&tid=0&lid=0,深圳,22989-资深虚拟网络专家(深圳),1,2017-06-15
技术类,position_detail.php?id=27737&keywords=&tid=0&lid=0,深圳,OMG08-广告产品市场经理（北京）,1,2017-06-16
技术类,position_detail.php?id=29303&keywords=&tid=0&lid=0,深圳,SNG06-QQ会员商城供应链运营经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=28471&keywords=&tid=0&lid=0,深圳,18797-Senior Strategy/Market Analysis Manager(shenzhen),4,2017-06-15
设计类,position_detail.php?id=27711&keywords=&tid=0&lid=0,深圳,SNG02-QQ多媒体通信后台高级工程师（深圳）,2,2017-06-16
技术类,position_detail.php?id=28081&keywords=&tid=0&lid=0,深圳,21087-高级商业投资分析经理（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=25352&keywords=&tid=0&lid=0,深圳,MIG18-后台开发工程师（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30885&keywords=&tid=0&lid=0,深圳,MIG06-商业合作经理（深圳）,2,2017-06-15
技术类,position_detail.php?id=30873&keywords=&tid=0&lid=0,深圳,TEG16-组织建设总监（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=29307&keywords=&tid=0&lid=0,深圳,MIG12-网络协议优化专家（深圳）,3,2017-06-16
设计类,position_detail.php?id=30859&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》赛事内容运营（成都）,1,2017-06-15
技术类,position_detail.php?id=30918&keywords=&tid=0&lid=0,北京,22990-行业大客户销售经理（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30862&keywords=&tid=0&lid=0,成都,15851-游戏后台开发工程师（深圳）,2,2017-06-15
产品/项目类,position_detail.php?id=30822&keywords=&tid=0&lid=0,成都,MIG03-腾讯众包产品运营（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=29846&keywords=&tid=0&lid=0,深圳,15614-资深SLG系统策划（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=30906&keywords=&tid=0&lid=0,成都,15583-棋牌游戏运营（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=27242&keywords=&tid=0&lid=0,深圳,SNG02-视频云解决方案架构师（上海）,3,2017-06-17
职能类,position_detail.php?id=28119&keywords=&tid=0&lid=0,深圳,15575-天美L1手游技术美术-TA（成都）,1,2017-06-17
技术类,position_detail.php?id=30695&keywords=&tid=0&lid=0,深圳,SNG16-腾讯音乐项目经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=28478&keywords=&tid=0&lid=0,深圳,TEG13-Python运营开发(后台)工程师（深圳）,1,2017-06-17
技术类,position_detail.php?id=30111&keywords=&tid=0&lid=0,深圳,23048-翻译君产品增长工程师（北京）,1,2017-06-15
产品/项目类,position_detail.php?id=28550&keywords=&tid=0&lid=0,深圳,OMG08-天天快报市场经理（北京）,1,2017-06-16
设计类,position_detail.php?id=25808&keywords=&tid=0&lid=0,北京,15612-高级场景原画设计师（北京）,1,2017-06-15
市场类,position_detail.php?id=30843&keywords=&tid=0&lid=0,北京,22989-云网络后台开发工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=30828&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区后台高级工程师,1,2017-06-14
产品/项目类,position_detail.php?id=27744&keywords=&tid=0&lid=0,上海,MIG03-高级智能创新产品测试开发工程师,1,2017-06-16
职能类,position_detail.php?id=29304&keywords=&tid=0&lid=0,广州,AQ-法律合作研究经理（深圳）,1,2017-06-15
市场类,position_detail.php?id=28474&keywords=&tid=0&lid=0,北京,MIG07-腾爱医疗后台开发工程师（深圳）,2,2017-06-15
市场类,position_detail.php?id=27203&keywords=&tid=0&lid=0,深圳,TEG03-高级图像算法研发工程师（深圳）,1,2017-06-16
职能类,position_detail.php?id=28088&keywords=&tid=0&lid=0,北京,HY2-python后台开发工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=25354&keywords=&tid=0&lid=0,深圳,MIG18-双百计划大数据产品经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=30886&keywords=&tid=0&lid=0,广州,MIG06-硬件产品经理（深圳）,3,2017-06-16
技术类,position_detail.php?id=30874&keywords=&tid=0&lid=0,深圳,SNG11-运营开发工程师（深圳）,2,2017-06-15
技术类,position_detail.php?id=29309&keywords=&tid=0&lid=0,深圳,15614-UI视觉设计（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=30847&keywords=&tid=0&lid=0,成都,18434-交互设计师,1,2017-06-15
市场类,position_detail.php?id=30910&keywords=&tid=0&lid=0,深圳,TEG13-运维开发工程师（深圳）,1,2017-06-16
技术类,position_detail.php?id=30863&keywords=&tid=0&lid=0,深圳,15851-棋牌游戏数据分析工程师（深圳）,2,2017-06-15
产品/项目类,position_detail.php?id=30833&keywords=&tid=0&lid=0,深圳,22989-深度定制云行业运营（深圳）,1,2017-06-16
技术类,position_detail.php?id=29558&keywords=&tid=0&lid=0,深圳,SNG16-腾讯音乐品牌合作商务经理（北京）,2,2017-06-16
产品/项目类,position_detail.php?id=30907&keywords=&tid=0&lid=0,深圳,15569-魂斗罗高级3D角色美术师（深圳）,1,2017-06-16
技术类,position_detail.php?id=27244&keywords=&tid=0&lid=0,上海,HY1-Web后台开发工程师（上海））,1,2017-06-17
技术类,position_detail.php?id=27904&keywords=&tid=0&lid=0,深圳,MIG09-QQ浏览器搜索后台开发工程师,3,2017-06-17
产品/项目类,position_detail.php?id=29964&keywords=&tid=0&lid=0,深圳,21528-腾讯音乐品牌合作商务经理（北京）,1,2017-06-16
产品/项目类,position_detail.php?id=29880&keywords=&tid=0&lid=0,上海,SNG11-业务运维工程师,2,2017-06-15
技术类,position_detail.php?id=28566&keywords=&tid=0&lid=0,广州,19332-企点产品高级产品经理（上海）,2,2017-06-16
技术类,position_detail.php?id=25728&keywords=&tid=0&lid=0,广州,15612-高级3D场景设计师（北京）,1,2017-06-14
产品/项目类,position_detail.php?id=30846&keywords=&tid=0&lid=0,深圳,WH-高级文化经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30829&keywords=&tid=0&lid=0,深圳,TEG05-高级图像视频分析算法工程师(北京）,1,2017-06-14
产品/项目类,position_detail.php?id=27754&keywords=&tid=0&lid=0,上海,MIG09-浏览器内核开发高级工程师-JS引擎方向,1,2017-06-16
产品/项目类,position_detail.php?id=29254&keywords=&tid=0&lid=0,上海,18797-unity游戏开发（深圳）,1,2017-06-15
市场类,position_detail.php?id=30328&keywords=&tid=0&lid=0,北京,SA-腾讯社交广告KA品牌营销策划经理(北京),3,2017-06-14
技术类,position_detail.php?id=28092&keywords=&tid=0&lid=0,深圳,TEG03-高级后台开发工程师（深圳）,1,2017-06-15
设计类,position_detail.php?id=27205&keywords=&tid=0&lid=0,深圳,23292-移动终端游戏品牌经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=27878&keywords=&tid=0&lid=0,深圳,MIG09-浏览器高级社区产品策划经理,3,2017-06-15
市场类,position_detail.php?id=25355&keywords=&tid=0&lid=0,深圳,MIG18-双百计划战略合作经理,1,2017-06-17
市场类,position_detail.php?id=30887&keywords=&tid=0&lid=0,深圳,MIG06-智能硬件特色功能产品策划经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30864&keywords=&tid=0&lid=0,深圳,15851-棋牌Web前端开发工程师（深圳）,2,2017-06-15
技术类,position_detail.php?id=29310&keywords=&tid=0&lid=0,深圳,15614-SLG 手游主美（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=30848&keywords=&tid=0&lid=0,成都,SNG02-视频云项目经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30911&keywords=&tid=0&lid=0,深圳,SA-社交效果广告测试开发工程师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30865&keywords=&tid=0&lid=0,成都,15851-棋牌Web后台开发工程师（深圳）,1,2017-06-15
设计类,position_detail.php?id=30852&keywords=&tid=0&lid=0,深圳,15569-QQ飞车手游高级游戏TA（深圳）,1,2017-06-16
市场类,position_detail.php?id=29311&keywords=&tid=0&lid=0,北京,15614-游戏美术3D特效（上海）,1,2017-06-16
技术类,position_detail.php?id=30908&keywords=&tid=0&lid=0,上海,SA-腾讯社交广告前端开发工程师（上海）,1,2017-06-16
技术类,position_detail.php?id=27247&keywords=&tid=0&lid=0,深圳,SNG03-互动视频JAVA后台开发工程师（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=30223&keywords=&tid=0&lid=0,深圳,15569-QQ飞车手游高级游戏玩法策划（深圳）,1,2017-06-16
技术类,position_detail.php?id=29884&keywords=&tid=0&lid=0,北京,SNG11-高级业务运维工程师（上海）,1,2017-06-15
市场类,position_detail.php?id=28568&keywords=&tid=0&lid=0,北京,SNG04-厘米秀高级产品运营（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=19151&keywords=&tid=0&lid=0,深圳,TEG14-运营开发工程师（深圳）,1,2017-06-14
市场类,position_detail.php?id=30771&keywords=&tid=0&lid=0,深圳,15612-手游动作策划（北京）,1,2017-06-15
技术类,position_detail.php?id=30830&keywords=&tid=0&lid=0,深圳,18302-游戏后台开发工程师（深圳）,2,2017-06-14
技术类,position_detail.php?id=28525&keywords=&tid=0&lid=0,深圳,15614-手游UI交互设计师（上海）,2,2017-06-16
技术类,position_detail.php?id=29256&keywords=&tid=0&lid=0,深圳,21645-腾讯互联网金融高级法律顾问、专家（法律研究方向）（北京）,1,2017-06-15
技术类,position_detail.php?id=29246&keywords=&tid=0&lid=0,深圳,SNG04-手Q厘米秀IOS开发工程师（深圳）,2,2017-06-14
职能类,position_detail.php?id=30368&keywords=&tid=0&lid=0,深圳,GY0-腾讯云海外android/ios开发工程师（深圳）,1,2017-06-14
技术类,position_detail.php?id=28097&keywords=&tid=0&lid=0,深圳,22088-腾讯体育社区运营经理（北京）,3,2017-06-15
技术类,position_detail.php?id=26702&keywords=&tid=0&lid=0,深圳,21309-在线教育ios高级开发工程师（深圳）,1,2017-06-16
技术类,position_detail.php?id=27666&keywords=&tid=0&lid=0,深圳,RL-招聘经理（北京）,1,2017-06-15
产品/项目类,position_detail.php?id=30888&keywords=&tid=0&lid=0,深圳,MIG06-AI内容服务产品策划经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30867&keywords=&tid=0&lid=0,深圳,HY2-游戏高级运维工程师（深圳）,1,2017-06-15
设计类,position_detail.php?id=29276&keywords=&tid=0&lid=0,上海,MIG12-大数据算法应用高级架构师（深圳）,1,2017-06-16
设计类,position_detail.php?id=30849&keywords=&tid=0&lid=0,深圳,SNG02-视频云运营后台开发工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=30866&keywords=&tid=0&lid=0,深圳,15851-棋牌产品策划经理（深圳）,1,2017-06-15
职能类,position_detail.php?id=29315&keywords=&tid=0&lid=0,深圳,AQ-安全智库经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=29305&keywords=&tid=0&lid=0,北京,TEG07-web前端开发工程师（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=28522&keywords=&tid=0&lid=0,深圳,20762-高级政务合作经理(北京),1,2017-06-16
职能类,position_detail.php?id=30844&keywords=&tid=0&lid=0,深圳,WXG03-微信web前端开发工程师（广州）,1,2017-06-14
技术类,position_detail.php?id=30837&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告北区SMB渠道经理（北京）,1,2017-06-15
产品/项目类,position_detail.php?id=30754&keywords=&tid=0&lid=0,北京,SNG01-QQ应用框架开发（算法）工程师（深圳）,1,2017-06-14
设计类,position_detail.php?id=27713&keywords=&tid=0&lid=0,上海,SNG02-视频云Android高级开发工程师（深圳）,2,2017-06-16
产品/项目类,position_detail.php?id=28941&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告产品渠道运营经理（品牌渠道）（深圳）,6,2017-06-14
职能类,position_detail.php?id=29261&keywords=&tid=0&lid=0,深圳,AQ-舆情策划推广经理（广州）,1,2017-06-15
职能类,position_detail.php?id=29250&keywords=&tid=0&lid=0,深圳,22090-快报ios开发工程师（北京）,1,2017-06-14
技术类,position_detail.php?id=30407&keywords=&tid=0&lid=0,北京,9615-CDG部门秘书（深圳）,1,2017-06-14
技术类,position_detail.php?id=28100&keywords=&tid=0&lid=0,深圳,22086-腾讯体育商务合作经理-版权方向（北京）,1,2017-06-15
技术类,position_detail.php?id=25899&keywords=&tid=0&lid=0,深圳,MIG03-浏览器高级视觉设计师（深圳）,1,2017-06-16
市场类,position_detail.php?id=27199&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告基础研究工程师（微信广告方向）,1,2017-06-15
产品/项目类,position_detail.php?id=30889&keywords=&tid=0&lid=0,深圳,MIG06-AI语义产品经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30868&keywords=&tid=0&lid=0,深圳,HY2-高级数据分析工程师（深圳）,1,2017-06-15
职能类,position_detail.php?id=28931&keywords=&tid=0&lid=0,北京,RP-招聘经理（北京）,1,2017-06-16
技术类,position_detail.php?id=30850&keywords=&tid=0&lid=0,深圳,15569-QQ飞车手游高级UI交互设计师(深圳),1,2017-06-15
产品/项目类,position_detail.php?id=30853&keywords=&tid=0&lid=0,深圳,TEG13-运营主管（成都）,1,2017-06-15
技术类,position_detail.php?id=29617&keywords=&tid=0&lid=0,上海,15612-游戏客户端开发,1,2017-06-15
产品/项目类,position_detail.php?id=28529&keywords=&tid=0&lid=0,上海,TEG02-IDC网络项目经理（上海）,1,2017-06-16
设计类,position_detail.php?id=30834&keywords=&tid=0&lid=0,北京,22989-腾讯云Windows客户端开发工程师（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=30838&keywords=&tid=0&lid=0,北京,18432-香港政府事务总监,1,2017-06-15
技术类,position_detail.php?id=30756&keywords=&tid=0&lid=0,北京,22989-大数据计算开发工程师（深圳）,3,2017-06-14
技术类,position_detail.php?id=27714&keywords=&tid=0&lid=0,深圳,SNG02-Web前端高级开发工程师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=28945&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告客户运营经理（品牌行业）（深圳）,1,2017-06-14
职能类,position_detail.php?id=29274&keywords=&tid=0&lid=0,北京,18796-PC游戏发行运营（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=29251&keywords=&tid=0&lid=0,北京,HY3-互娱高级服务采购经理（深圳）,1,2017-06-14
内容编辑类,position_detail.php?id=29762&keywords=&tid=0&lid=0,北京,CG-运营类采购商务主管（深圳）,1,2017-06-14
内容编辑类,position_detail.php?id=28101&keywords=&tid=0&lid=0,北京,22086-腾讯网后台开发工程师（北京）,1,2017-06-15
技术类,position_detail.php?id=27183&keywords=&tid=0&lid=0,北京,SA-腾讯社交广告反作弊组长（北京）,1,2017-06-16
产品/项目类,position_detail.php?id=26470&keywords=&tid=0&lid=0,深圳,21309-在线教育JAVA后台开发工程师（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=30890&keywords=&tid=0&lid=0,深圳,MIG06-用户运营高级产品经理（深圳）,2,2017-06-15
技术类,position_detail.php?id=30869&keywords=&tid=0&lid=0,深圳,HY2-手游SDK后台开发工程师(深圳),1,2017-06-15
技术类,position_detail.php?id=30851&keywords=&tid=0&lid=0,成都,15575-《王者荣耀》高级数据挖掘开发工程师（成都）,1,2017-06-15
技术类,position_detail.php?id=30854&keywords=&tid=0&lid=0,深圳,MIG07-电脑管家客户端开发工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=29280&keywords=&tid=0&lid=0,北京,15614-MMORPG资深系统策划（上海）,5,2017-06-15
技术类,position_detail.php?id=30835&keywords=&tid=0&lid=0,深圳,22989-腾讯云存储产品运营（深圳）,1,2017-06-15
职能类,position_detail.php?id=30839&keywords=&tid=0&lid=0,香港,18427-理财产品策划经理,1,2017-06-15
技术类,position_detail.php?id=30757&keywords=&tid=0&lid=0,北京,22989-云存储研发工程师（厦门）,1,2017-06-14
技术类,position_detail.php?id=28410&keywords=&tid=0&lid=0,深圳,MIG07-安全行业产品经理（深圳）,1,2017-06-14
产品/项目类,position_detail.php?id=29281&keywords=&tid=0&lid=0,深圳,15614-MMORPG资深文案策划（上海）,2,2017-06-15
技术类,position_detail.php?id=29435&keywords=&tid=0&lid=0,北京,SA-腾讯社交广告KA效果广告产品运营经理（北京）,1,2017-06-14
技术类,position_detail.php?id=29785&keywords=&tid=0&lid=0,深圳,MIG16-自动驾驶高精地图数据后台工程师(北京),1,2017-06-14
技术类,position_detail.php?id=28106&keywords=&tid=0&lid=0,北京,SA-腾讯社交广告高级运维工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=27521&keywords=&tid=0&lid=0,深圳,S2-CDG财务管理（深圳）,1,2017-06-15
市场类,position_detail.php?id=29284&keywords=&tid=0&lid=0,上海,18796-游戏平台高级商务经理（上海）,1,2017-06-15
技术类,position_detail.php?id=30836&keywords=&tid=0&lid=0,深圳,21229-游戏运营商业化策划（上海）,1,2017-06-14
设计类,position_detail.php?id=30380&keywords=&tid=0&lid=0,北京,15612-高级界面设计师（北京）,1,2017-06-15
技术类,position_detail.php?id=30769&keywords=&tid=0&lid=0,深圳,OMG097-天天快报产品运营（北京）,2,2017-06-14
产品/项目类,position_detail.php?id=28047&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告微信方向数据挖掘工程师（深圳）,1,2017-06-14
技术类,position_detail.php?id=29164&keywords=&tid=0&lid=0,深圳,MIG03-安卓测试开发工程师（深圳）,1,2017-06-15
设计类,position_detail.php?id=29213&keywords=&tid=0&lid=0,深圳,OMG097-腾讯新闻数据产品总监（北京）,1,2017-06-14
技术类,position_detail.php?id=29787&keywords=&tid=0&lid=0,深圳,MIG16-自动驾驶数据平台工具链研发工程师(北京),1,2017-06-14
技术类,position_detail.php?id=27694&keywords=&tid=0&lid=0,深圳,HY2-C++后台开发工程师（深圳）,1,2017-06-15
职能类,position_detail.php?id=26199&keywords=&tid=0&lid=0,深圳,HY6-移动客户端开发工程师（深圳）,2,2017-06-15
产品/项目类,position_detail.php?id=30816&keywords=&tid=0&lid=0,上海,IEG-投资公司管理HRBP（深圳）,1,2017-06-14
技术类,position_detail.php?id=30627&keywords=&tid=0&lid=0,厦门,MIG07-界面视觉设计师（深圳）,2,2017-06-14
产品/项目类,position_detail.php?id=28079&keywords=&tid=0&lid=0,深圳,18435-web前端开发工程师（深圳）,1,2017-06-14
技术类,position_detail.php?id=29235&keywords=&tid=0&lid=0,北京,SA-腾讯社交广告后台开发工程师内部广告方向（深圳）,3,2017-06-14
职能类,position_detail.php?id=29799&keywords=&tid=0&lid=0,深圳,21000-资源价控分析师（北京）,1,2017-06-14
技术类,position_detail.php?id=26213&keywords=&tid=0&lid=0,深圳,HY2-运营产品策划（深圳）,1,2017-06-15
技术类,position_detail.php?id=30827&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区后台工程师,2,2017-06-14
设计类,position_detail.php?id=30478&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告数据挖掘工程师（北京）,1,2017-06-14
产品/项目类,position_detail.php?id=28080&keywords=&tid=0&lid=0,深圳,18435-风控后台开发工程师（深圳）,8,2017-06-14
产品/项目类,position_detail.php?id=29236&keywords=&tid=0&lid=0,北京,MIG07-Linux高级开发工程师（北京）,2,2017-06-14
技术类,position_detail.php?id=29812&keywords=&tid=0&lid=0,北京,OMG191-商务拓展经理（北京）,2,2017-06-14
技术类,position_detail.php?id=30327&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告数据挖掘工程师（深圳）,3,2017-06-14
技术类,position_detail.php?id=28409&keywords=&tid=0&lid=0,深圳,MIG07-电脑管家产品经理（深圳）,3,2017-06-14
技术类,position_detail.php?id=29243&keywords=&tid=0&lid=0,深圳,17467-高级企鹅电竞品牌经理（深圳）,1,2017-06-14
市场类,position_detail.php?id=29773&keywords=&tid=0&lid=0,北京,RP-应用开发工程师（深圳）,2,2017-06-14
技术类,position_detail.php?id=27916&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告广点通用户画像大数据研发工程师（北京）,1,2017-06-14
市场类,position_detail.php?id=29244&keywords=&tid=0&lid=0,深圳,15571-3D场景设计师（深圳）,1,2017-06-14
技术类,position_detail.php?id=29432&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告算法研发高级工程师（深圳 / 北京 / 上海）,2,2017-06-14
技术类,position_detail.php?id=27680&keywords=&tid=0&lid=0,北京,21227-游戏韩语商务经理（深圳）,2,2017-06-14
产品/项目类,position_detail.php?id=29245&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告流量产品运营经理（深圳）,1,2017-06-14
技术类,position_detail.php?id=27685&keywords=&tid=0&lid=0,北京,MIG03-测试开发工程师（北京）,1,2017-06-14
